Country,Year,CPI,Democracy_Index,Fragile_States_Index,Global_Peace_Index
Iraq,2006,19,4.01,109.0,
Sudan,2007,18,2.9,113.7,
Georgia,2008,39,4.62,83.8,2.7
Libya,2011,20,3.55,68.7,2.43
Syria,2011,26,1.99,85.9,2.15
Central African Republic,2012,26,1.99,103.8,2.67
Mali,2012,34,5.12,97.3,2.18
Yemen,2014,19,2.79,105.4,2.51
Ukraine,2014,26,5.84,67.2,2.48
Iraq,2014,16,4.1,102.2,2.98
Philippines,2014,38,6.77,85.3,2.32
Niger,2015,34,4.62,97.8,2.11
Burkina Faso,2015,38,4.7,89.2,1.91
Mozambique,2017,25,4.02,89.0,2.02
Ethiopie,2020,38,3.38,94.6,2.4
Armenia,2020,49,5.35,64.2,1.91
Azerbaijan,2020,30,2.68,71.3,2.04
Myanmar,2021,28,1.02,93.8,2.32
Sudan,2023,20,1.76,106.2,3.06
