gid,row,col,xcoord,ycoord,agri_gc,cmr_max,cmr_mean,cmr_min,cmr_sd,imr_max,imr_mean,imr_min,imr_sd,landarea,petroleum_s,ttime_max,ttime_mean,ttime_min,ttime_sd,urban_gc,water_gc
"49182","69","222","-69.25","-55.75","0.049382716","0.8","0.8","0.8","0","108","108","108","0","4.121329",,"1069","1012.0182","966","25.198479","0","99.580246"
"49183","69","223","-68.75","-55.75","0.018518519","0.8","0.8","0.8","0","108","108","108","0","3.9390848",,"980","933.29065","895","22.092043","0","99.1358"
"49184","69","224","-68.25","-55.75","1.6203704","0.8","0.8","0.8","0","108","108","108","0","267.66522",,"878","765.0629","666","41.269226","0","86.262344"
"49185","69","225","-67.75","-55.75","0.46604937","0.8","0.8","0.8","0","108","108","108","0","241.4948",,"785","712.40247","619","38.359894","0","86.83951"
"49186","69","226","-67.25","-55.75","0.94135803",,,,,,,,,"310.00946",,"693","643.4555","573","31.343374","0","83.28086"
"49898","70","218","-71.25","-55.25","0","0.8","0.8","0.8","0","108","108","108","0","3.3935082",,"732","709.16394","676","14.529992","0","99.8642"
"49899","70","219","-70.75","-55.25","0.58641976","0.8","0.8","0.8","0","108","108","108","0","346.14056",,"964","828.8048","648","73.39828","0","85.00617"
"49900","70","220","-70.25","-55.25","0.9607121","0.8","0.8","0.8","0","108","108","108","0","179.4972",,"1076","953.3997","876","36.139507","0","88.64334"
"49901","70","221","-69.75","-55.25","0.5925926","0.8","0.8","0.8","0","108","108","108","0","804.0784",,"1442","1108.1334","883","124.8782","0","60.098766"
"49902","70","222","-69.25","-55.25","2.398148","0.8","0.8","0.8","0","108","108","108","0","1096.291",,"1489","1133.8715","683","142.28662","0","48.84568"
"49903","70","223","-68.75","-55.25","2.6080246","0.8","0.8","0.8","0","108","108","108","0","1280.9506",,"1274","959.7781","615","146.76692","0","33.132717"
"49904","70","224","-68.25","-55.25","2.5679011","0.8","0.8","0.8","0","108","108","108","0","947.5075",,"1072","773.94995","524","121.47828","0","50.993828"
"49905","70","225","-67.75","-55.25","4.3055553",,,,,,,,,"787.45386",,"1107","777.3522","512","124.27755","0","56.885803"
"49906","70","226","-67.25","-55.25","7.037037",,,,,,,,,"850.2806",,"1023","697.2598","452","110.88046","0","54.151234"
"49907","70","227","-66.75","-55.25","3.8487654","5","5","5","0","75","75","75","0","341.16507",,"756","599.0014","465","70.01008","0","81.11729"
"49908","70","228","-66.25","-55.25","0.59590316","5","5","5","0","75","75","75","0","58.304413",,"745","617.30347","540","54.991577","0","96.651146"
"50616","71","216","-72.25","-54.75","0","0.8","0.8","0.8","0","108","108","108","0","2.8026004",,"689","638.23364","605","18.384563","0","98.27469"
"50617","71","217","-71.75","-54.75","0","0.8","0.8","0.8","0","108","108","108","0","392.17462",,"777","673.12866","555","40.99194","0","80.63935"
"50618","71","218","-71.25","-54.75","0.5771605","0.8","0.8","0.8","0","108","108","108","0","760.6631",,"780","582.0895","355","93.623146","0","65.05556"
